"command_id","command_code","universe_key","command","card_count"
"fb1ab1c4-635a-5a4e-a8b1-5965d731a01c","RCIA-CMD-0107","visuels","/futureportrait","3"
"6badae82-6a4a-5c0a-871b-de014dba46aa","RCIA-CMD-0108","visuels","/glasslayerportrait","2"
"37d81c49-5f29-52bb-bb12-a2d12b8a68ad","RCIA-CMD-0109","visuels","/haloeditorial","3"
"c0a56c64-36fe-5fbc-b689-5a0735c775e0","RCIA-CMD-0110","visuels","/luxeloungeportrait","3"
"6def9a1b-eb77-5290-8fdb-cbb6f69ecf46","RCIA-CMD-0111","visuels","/medievalportrait","1"
"d14a2ec7-bfec-5138-b346-dd85760ffd38","RCIA-CMD-0112","visuels","/radiantspotlight","3"
"912fb990-a857-5b3a-8297-626ae6b1afba","RCIA-CMD-0113","visuels","/raineditorial","3"
"c8ab1f7b-ac5d-54c6-85ad-a673d77e91d2","RCIA-CMD-0114","visuels","/reflectioneditorial","1"
"3da3516b-d635-5237-a299-bfa28fad567d","RCIA-CMD-0115","visuels","/rimlightprofile","1"
"c9410974-ef98-5457-abfe-7fc557d2a922","RCIA-CMD-0116","visuels","/rooftopeditorial","3"
"ce5d223b-be01-5ffe-bf50-663b65134e11","RCIA-CMD-0117","visuels","/shadowsculpt","2"
"67ae98af-b0ac-55fb-9178-cc6beaea8806","RCIA-CMD-0118","visuels","/softwindowportrait","3"
"a2d82b36-818b-51af-bd3b-46b538732380","RCIA-CMD-0119","visuels","/streetflashlook","2"
"1d88790e-2876-59e6-831c-8123865f83c3","RCIA-CMD-0120","visuels","/vintageportrait","3"
"722add26-d1b4-52cd-a5e9-24cb4828309e","RCIA-CMD-0121","visuels","/ccdnight","1"
"bd72dfb9-077c-5696-bf99-90c761b54b39","RCIA-CMD-0122","visuels","/centralafricanstyle","1"
"38528e30-dcfa-5a8b-bfce-9d31a27912e9","RCIA-CMD-0123","visuels","/eastafricanstyle","1"
"b83506bf-acb9-5eb9-9e30-44127459c7aa","RCIA-CMD-0124","visuels","/goldenhourportrait","1"
"b3425c56-5c2b-5b92-af0b-63b4ab6dfb2e","RCIA-CMD-0125","visuels","/paparazziflash","1"
"0c0ff95d-6e21-5c77-abae-4c5030b59499","RCIA-CMD-0126","visuels","/passporteras","1"
"70afa6b9-7654-506b-8371-13ee14052274","RCIA-CMD-0127","visuels","/redcarpet","1"
"49607a46-f7ff-533b-9953-688f67a2fb64","RCIA-CMD-0128","visuels","/silhouetteportrait","1"
"d294e4a8-9a86-5a4a-83ab-80c05b30c7aa","RCIA-CMD-0129","visuels","/southernafricanstyle","1"
"8df0d69d-b9ad-566c-9b83-8fee0b460c91","RCIA-CMD-0130","visuels","/textileportrait","1"
"61fba1fe-227d-5667-8d65-3373fd5e0d2c","RCIA-CMD-0131","visuels","/throwback2016","1"
"e217e3bf-1e8d-5d5b-9def-1d0c7c21fa45","RCIA-CMD-0132","visuels","/westafricanstyle","1"
"30b5f9ab-c030-5e6d-a512-7f25a1328c73","RCIA-CMD-0133","visuels","/y2kflash","1"
"c33f94f8-c138-55e2-94d5-db952f9bb6d0","RCIA-CMD-0134","visuels","/yearbook90s","1"
"700cb0ed-1b6a-58a9-a68c-e4770abed86b","RCIA-CMD-0135","visuels","/denimcampaignportrait","2"
"ad0e2458-aa43-549c-92ea-3302399cb536","RCIA-CMD-0136","visuels","/silkcampaignportrait","2"
"c5eebdb5-0f63-585d-ab40-e80839c4414d","RCIA-CMD-0137","visuels","/braidpreview","1"
"66d19642-0ed4-5f6e-a028-5a60a03805bf","RCIA-CMD-0138","visuels","/btsfashion","1"
"ede1c407-5fd2-5e7a-b252-36e756d692c4","RCIA-CMD-0139","visuels","/castingcard","1"
"34436c16-ffa1-5011-a15b-3add9af8f8a3","RCIA-CMD-0140","visuels","/coloranalysis","1"
"b267ac90-b475-55f7-8469-049a234cc1e2","RCIA-CMD-0141","visuels","/dreamcareergrid","1"
"b2eac5e1-220f-573c-b6fa-19309184c5e5","RCIA-CMD-0142","visuels","/fashionpolaroid","1"
"ce4030e0-93e2-55f2-8ed0-73e40b765dfc","RCIA-CMD-0143","visuels","/identitysheet","1"
"4d79fdb5-e26c-55a9-b05a-7fab54a00149","RCIA-CMD-0144","visuels","/lookcontinuity","1"
"49f868c9-768e-5ebc-a83c-96d1f580395e","RCIA-CMD-0145","visuels","/outfit","1"
"8d77b1ae-4468-5144-bf9b-2663205e7174","RCIA-CMD-0146","visuels","/outfitbreakdown","1"
"dccbc859-f5e2-59ca-9758-e5e6be200f5d","RCIA-CMD-0147","visuels","/photoboothstory","1"
"2106450a-9d80-5fd2-aed1-7c2d5bf5cda6","RCIA-CMD-0148","visuels","/runwaydebut","1"
"26bee834-1468-517d-9bd0-3fe86f6195e5","RCIA-CMD-0149","visuels","/thenandnow","2"
"a87f677d-ab46-579e-876f-8fe1da795dde","RCIA-CMD-0150","visuels","/ageprogression","1"
"70a32609-2d19-555b-94a2-6719aedf44f6","RCIA-CMD-0151","visuels","/babyself","1"
"3f5fbed2-fbf5-51f4-b8ba-aff0708bfd69","RCIA-CMD-0152","visuels","/birthdayportrait","1"
"18c08e16-02bb-5380-ab21-aed911d018a6","RCIA-CMD-0153","visuels","/childmeet","1"
"11b04eac-ee04-5eb9-a3aa-5d76a41dc4fd","RCIA-CMD-0154","visuels","/coupleportrait","1"
"0d8bbbe0-1f4d-5f4f-8b58-405c94c2d7a5","RCIA-CMD-0155","visuels","/familyportrait","1"
"e0c6c732-351c-5616-b3f4-cfe680baed1a","RCIA-CMD-0156","visuels","/futurechild","1"
"ba10dd8f-3b77-5aed-8b60-aad4d8f6399f","RCIA-CMD-0157","visuels","/genderflip","1"
"207a9731-5049-5dc3-b874-fe38d5d1cec7","RCIA-CMD-0158","visuels","/graduationportrait","1"
"f34a4a98-b215-5df7-b441-86520b45ecba","RCIA-CMD-0159","visuels","/maternityportrait","1"
"deceb8d8-8f05-5dd2-9692-f1cc12dff7c9","RCIA-CMD-0160","visuels","/teamportrait","1"
"3ecb377f-8925-5afb-a616-3c7bcc44c71f","RCIA-CMD-0161","visuels","/weddingportrait","1"
"94716bfa-f628-5fa9-8609-854c8738a486","RCIA-CMD-0162","visuels","/authorityseated","3"
"4954f21c-1ae8-5226-822c-c4b42f5afd9f","RCIA-CMD-0163","visuels","/executivefullbody","3"
"97e448ca-30c8-591d-8749-176bfc415e8d","RCIA-CMD-0164","visuels","/freelanceicon","2"
"ddc1e203-78b6-56c9-8d67-4c061083f87a","RCIA-CMD-0165","visuels","/stagelegend","1"
"bb5f4de4-db5d-5132-ae44-98c2549bb250","RCIA-CMD-0166","visuels","/afrobeatsstar","1"
"a8222a31-9d8d-5459-9021-9986cb5e4ac3","RCIA-CMD-0167","visuels","/artisanportrait","1"
"e2a14b6b-83ae-5028-bf7d-40fb464f7706","RCIA-CMD-0168","visuels","/avatarpro","1"
"83af344e-b859-5cac-9666-624a6a544073","RCIA-CMD-0169","visuels","/campaignportrait","1"
"df33c512-5ca9-5c1e-925a-ff8bfa03326a","RCIA-CMD-0170","visuels","/chefportrait","1"
"b9f5f6f5-8289-527a-8737-6da9aef10d0e","RCIA-CMD-0171","visuels","/founderportrait","1"
"cfcb1ef6-6700-5c7b-a5e0-eb636e5071f2","RCIA-CMD-0172","visuels","/headshot","1"
"cdc2e2a9-57d8-5009-add5-467c96af3693","RCIA-CMD-0173","visuels","/presskitportrait","1"
"39e8d599-395c-5d7c-acc1-52715b33125b","RCIA-CMD-0174","visuels","/speakerportrait","1"
"b4b81bf1-634a-5f5b-9a73-f820a9abb62e","RCIA-CMD-0175","visuels","/streetcasting","1"
"1235681b-0fc2-539e-8f13-5c2f2e1b50cd","RCIA-CMD-0176","visuels","/colorrestore","1"
"c675979b-4fe5-5736-aa56-37b60073006a","RCIA-CMD-0177","visuels","/colorswap","1"
"312babaa-9198-5317-8786-ed8cf14b0c9c","RCIA-CMD-0178","visuels","/faceswapduo","1"
"0806759c-0b7f-57de-8b31-9c0eda274c03","RCIA-CMD-0179","visuels","/ceilingsea","2"
"2423371d-c7ef-51a7-84be-942cb0b27d81","RCIA-CMD-0180","visuels","/skyisland","1"
