"card_id","tag_key"
"814e38ea-b507-52fd-a928-9ac363bb4f50","photo"
"11095eaf-6899-5a43-82f2-e7d359b7aff1","portrait"
"11095eaf-6899-5a43-82f2-e7d359b7aff1","photo"
"c060825b-fda1-51db-9bcb-bc2fa7be1bcb","portrait"
"c060825b-fda1-51db-9bcb-bc2fa7be1bcb","photo"
"21745d50-afe1-5fbb-b7b0-74482e3e73e1","portrait"
"21745d50-afe1-5fbb-b7b0-74482e3e73e1","photo"
"b106326c-8dd6-5b39-a66d-e24951b8a45a","portrait"
"b106326c-8dd6-5b39-a66d-e24951b8a45a","photo"
"b425640e-eb07-50f3-b12b-5d508884f7f3","portrait"
"b425640e-eb07-50f3-b12b-5d508884f7f3","photo"
"b2244129-ab07-5543-a05d-32dde324dc25","portrait"
"b2244129-ab07-5543-a05d-32dde324dc25","photo"
"e5f94555-dcd7-504c-b904-4c7ede442a76","portrait"
"e5f94555-dcd7-504c-b904-4c7ede442a76","photo"
"d0a34182-20f5-5b61-a4db-f8854b38b7dc","portrait"
"d0a34182-20f5-5b61-a4db-f8854b38b7dc","photo"
"b50c6c66-9f06-5959-8fa7-8f3767ef509f","portrait"
"b50c6c66-9f06-5959-8fa7-8f3767ef509f","photo"
"bce102e4-1ad3-5ea5-8865-4dea6e73a422","portrait"
"bce102e4-1ad3-5ea5-8865-4dea6e73a422","photo"
"54fe3301-3152-5733-b4b5-98c4e99ce316","portrait"
"54fe3301-3152-5733-b4b5-98c4e99ce316","photo"
"dc3631de-3cd6-5697-8282-eda989f14c71","portrait"
"dc3631de-3cd6-5697-8282-eda989f14c71","photo"
"f5d8af7b-3349-52cf-b27d-b144a9855d54","portrait"
"f5d8af7b-3349-52cf-b27d-b144a9855d54","photo"
"a8f802db-855d-54f3-a100-abcf6c556906","portrait"
"a8f802db-855d-54f3-a100-abcf6c556906","photo"
"586d097d-d196-5e35-a395-6d99eb93fa0e","portrait"
"586d097d-d196-5e35-a395-6d99eb93fa0e","photo"
"e9ad20d0-62ae-5dd8-b8f8-19f2ff30dd73","portrait"
"e9ad20d0-62ae-5dd8-b8f8-19f2ff30dd73","photo"
"51429743-2358-5739-8c25-30793c7fc75b","portrait"
"51429743-2358-5739-8c25-30793c7fc75b","photo"
